id,wareid,cd,warename,basename,basenum,contprice,dealnum,enddate,jsd,orderdate,priceunit,countunit,createTime,updateTime,deleteFlag
36629,6,2,PNG,2.26,4000000.00,2.26,4000000.00,2018-12-31, ,2018-12-27,元/方,方,2018-12-27 19:31:00,2018-12-27 19:31:00,0
36415,6,2,PNG,2.26,15000000.00,2.26,15000000.00,2018-12-31,,2018-12-26,元/方,方,2018-12-26 21:59:30,2018-12-26 21:59:30,0
36416,6,2,PNG,2.26,4000000.00,2.26,4000000.00,2018-12-31,,2018-12-26,元/方,方,2018-12-26 21:59:30,2018-12-26 21:59:30,0
36327,6,2,PNG,2.26,4000000.00,2.26,4000000.00,2018-12-31,,2018-12-25,元/方,方,2018-12-25 18:49:26,2018-12-25 18:49:26,0
36328,6,2,PNG,2.26,15000000.00,2.26,15000000.00,2018-12-31,,2018-12-25,元/方,方,2018-12-25 18:49:26,2018-12-25 18:49:26,0
36329,6,2,PNG,2.15,100000000.00,2.15,100000000.00,2018-12-31,山西省,2018-12-25,元/方,方,2018-12-25 18:49:26,2018-12-25 18:49:26,0
36330,6,2,PNG,2.23,1000000.00,2.23,1000000.00,2018-12-31,葫芦岛末站,2018-12-25,元/方,方,2018-12-25 18:49:26,2018-12-25 18:49:26,0
36214,6,1,PNG,2.65,67000000.00,2.65,67000000.00,2018-12-31,山东省,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36215,6,1,PNG,2.07,184740000.00,2.07,184740000.00,2018-12-31,山东省,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36216,6,1,PNG,2.23,42680000.00,2.23,42680000.00,2018-12-31,刘巷子分输站,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36217,6,1,PNG,2.12,8670000.00,2.12,8670000.00,2018-12-31,德州末站,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36218,6,1,PNG,2.39,49900000.00,2.39,49900000.00,2018-12-31,扬州分输站,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36219,6,1,PNG,2.42,109200000.00,2.42,109200000.00,2018-12-21,浙江省,2018-12-21,元/方,方,2018-12-21 18:24:05,2018-12-21 18:24:05,0
36189,6,1,PNG,2.41,27090000.00,2.41,27090000.00,2018-12-31,青岛站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36190,6,1,PNG,2.14,10120000.00,2.14,10120000.00,2018-12-31,B032分输阀室,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36191,6,1,PNG,2.13,69370000.00,2.13,69370000.00,2018-12-31,洛阳分输站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36192,6,1,PNG,2.20,4120000.00,2.20,4120000.00,2018-12-31,利辛分输清管站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36193,6,1,PNG,2.22,14340000.00,2.22,14340000.00,2018-12-31,刘巷子分输站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36194,6,1,PNG,2.29,42720000.00,2.29,42720000.00,2018-12-31,芜湖末站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
36195,6,1,PNG,2.38,28570000.00,2.38,28570000.00,2018-12-31,南京分输站,2018-12-20,元/方,方,2018-12-20 17:42:41,2018-12-20 17:42:41,0
