id,wareid,cd,warename,basename,basenum,contprice,dealnum,enddate,jsd,orderdate,priceunit,countunit,createTime,updateTime,deleteFlag
36672,3,1,LNGZJ,5200.00,20.00,5200.00,20.00,2019-01-31,中海油浙江宁波LNG接收站-江浙沪皖,2019-01-04,元/吨,吨,2019-01-04 23:56:08,2019-01-04 23:56:08,0
36630,3,1,LNGZJ,5195.00,40.00,5195.00,40.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36631,3,1,LNGZJ,5195.00,20.00,5195.00,20.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36632,3,1,LNGZJ,5195.00,40.00,5195.00,40.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36633,3,1,LNGZJ,5195.00,80.00,5195.00,80.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36634,3,1,LNGZJ,5195.00,240.00,5195.00,240.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36635,3,1,LNGZJ,5195.00,40.00,5195.00,40.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36636,3,1,LNGZJ,5195.00,60.00,5195.00,60.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36637,3,1,LNGZJ,5195.00,500.00,5195.00,500.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36638,3,1,LNGZJ,5195.00,80.00,5195.00,80.00,2018-12-31,中海油浙江宁波LNG接收站-江浙沪皖,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36639,3,2,L-PNG,5403.00,271.30,5403.00,271.30,2018-12-31,,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36640,3,2,L-PNG,5403.00,19.00,5403.00,19.00,2018-12-31,,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
36641,3,2,L-PNG,5403.00,2550.00,5403.00,2550.00,2018-12-31,,2018-12-28,元/吨,吨,2018-12-28 23:48:39,2018-12-28 23:48:39,0
